# kind|name|relative-frame-path|stable-error (X only)
V|minimal|valid/minimal.frame
V|full-declarations|valid/full-declarations.frame
V|large-integers|valid/large-integers.frame
V|negative-header-values|valid/negative-header-values.frame
V|seed-max|valid/seed-max.frame
X|component-unknown-node|invalid/component-unknown-node.frame|scenario-unknown-node
X|duplicate-component|invalid/duplicate-component.frame|scenario-duplicate-component
X|component-order|invalid/component-order.frame|scenario-component-order
X|component-kind-type|invalid/component-kind-type.frame|scenario-component-kind-type
# ADR 0007 D3: the optional per-component `model` binding. Presence
# selects the expected key list, so absence stays legal; a non-symbol
# model fails with its own scenario code, while a duplicated or
# misplaced model key never reaches the scenario layer because the
# canonical decoder rejects the record first (ADR 0002 codes).
V|component-model|valid/component-model.frame
X|component-model-type|invalid/component-model-type.frame|scenario-component-model-type
X|component-model-duplicate|invalid/component-model-duplicate.frame|record-duplicate
X|component-model-misplaced|invalid/component-model-misplaced.frame|record-order
X|faults-type|invalid/faults-type.frame|scenario-faults-type
X|fault-kind-unsupported|invalid/fault-kind-unsupported.frame|scenario-fault-kind-unsupported
X|fault-kinds-empty|invalid/fault-kinds-empty.frame|scenario-fault-kinds-empty
X|fault-kinds-order|invalid/fault-kinds-order.frame|scenario-fault-kinds-order
X|duplicate-fault-kind|invalid/duplicate-fault-kind.frame|scenario-duplicate-fault-kind
X|fault-members-empty|invalid/fault-members-empty.frame|scenario-fault-members-empty
X|fault-member-unknown|invalid/fault-member-unknown.frame|scenario-unknown-node
X|fault-members-order|invalid/fault-members-order.frame|scenario-fault-members-order
X|duplicate-fault|invalid/duplicate-fault.frame|scenario-duplicate-fault
X|fault-order|invalid/fault-order.frame|scenario-fault-order
X|observations-type|invalid/observations-type.frame|scenario-observations-type
X|observation-time|invalid/observation-time.frame|scenario-observation-time
X|observation-at-type|invalid/observation-at-type.frame|scenario-observation-at-type
X|duplicate-observation|invalid/duplicate-observation.frame|scenario-duplicate-observation
X|observation-order|invalid/observation-order.frame|scenario-observation-order
X|properties-type|invalid/properties-type.frame|scenario-properties-type
X|property-class-unsupported|invalid/property-class-unsupported.frame|scenario-property-class-unsupported
X|property-class-type|invalid/property-class-type.frame|scenario-property-class-type
X|duplicate-property|invalid/duplicate-property.frame|scenario-duplicate-property
X|property-order|invalid/property-order.frame|scenario-property-order
# ADR 0005 canonical-profile/m1-large boundary fixtures. scenario/v1 names
# that profile statically; each frame below is a genuine scenario/v1 frame
# whose boundary payload lives in one property's opaque spec value.
# Two further kinds are used below:
#   L|name|relative-frame-path                valid, checked exactly as V,
#                                             reported by length and edge
#                                             octets because its hex is
#                                             too long to print
#   M|name|relative-frame-path|stable-error   the frame replayed through
#                                             the plain ADR 0002 m0
#                                             canonical entry point, which
#                                             must still reject it
V|m1-nodes-beyond-m0|valid/m1-nodes-beyond-m0.frame
L|m1-nodes-max|valid/m1-nodes-max.frame
L|m1-frame-max|valid/m1-frame-max.frame
V|m1-depth-max|valid/m1-depth-max.frame
X|m1-nodes-too-many|invalid/m1-nodes-too-many.frame|nodes-too-many
X|m1-frame-too-large|invalid/m1-frame-too-large.frame|frame-too-large
X|m1-depth-too-large|invalid/m1-depth-too-large.frame|depth-too-large
# ADR 0005 verification 3: the same accepted m1-large frames presented to
# the plain ADR 0002 m0 canonical entry point still reject, fail-closed,
# with the unchanged stable codes.
M|m0-rejects-nodes-beyond-m0|valid/m1-nodes-beyond-m0.frame|nodes-too-many
M|m0-rejects-nodes-max|valid/m1-nodes-max.frame|frame-too-large
M|m0-rejects-frame-max|valid/m1-frame-max.frame|frame-too-large
M|m0-rejects-depth-max|valid/m1-depth-max.frame|depth-too-large
